L.p.;Animal ID;Genotype;Pellet type
1;382M;mut;L-DOPA
2;384M;con;placebo
3;383M;con;L-DOPA
4;394M;con;L-DOPA
5;390M;con;placebo
6;393M;con;placebo
7;392M;mut;L-DOPA
8;391M;mut;placebo
9;389M;mut;L-DOPA
10;395M;mut;placebo
11;415M;con;L-DOPA
12;420M;con;placebo
13;408M;mut;L-DOPA
14;407M;con;L-DOPA
15;409M;mut;placebo
16;410M;con;placebo
17;402M;con;placebo
18;401M;mut;placebo
19;399M;con;L-DOPA
20;400M;mut;L-DOPA
1;411F;mut;L-DOPA
2;412F;con;L-DOPA
3;413F;mut;placebo
4;414F;mut;placebo
5;403F;mut;L-DOPA
6;404F;con;placebo
7;405F;mut;L-DOPA
8;406F;mut;placebo
9;378F;con;placebo
10;380F;mut;L-DOPA
11;396F;mut;placebo
12;397F;con;L-DOPA
13;398F;con;placebo
14;385F;mut;L-DOPA
15;386F;con;L-DOPA
16;387F;con;L-DOPA
17;388F;con;placebo
18;370F;con;L-DOPA
19;371F;mut;placebo
20;373F;con;L-DOPA
21;374F;con;placebo
